已知缺失物品:

black 黑色旗帜
shulkerBoxBlack 黑色潜影盒
stained_hardened_clay 陶瓦
cocoa 可可
composter 堆肥箱
light_block 光源方块
repeating_command_block 重复命令方块
chain_command_block 连锁命令方块
darkOakFence 深色橡木栅栏
dark_oak_fence_gate 深色橡木栅栏门
daylight_detector 阳光传感器
detector_rail 探测铁轨
podzol 灰化土
dispenser 发射器
iron_door 铁门
doorWood 木门
double_plant 植物
dropper 投掷器
enderChest 末影箱
end_portal_frame 末地传送门
farmland 农地
fletching_table 制箭台
fence 橡木栅栏
fence_gate 橡木栅栏门
fire 火
yellow_flower 花
red_flower 花
wither_rose 凋零玫瑰
furnace 熔炉
golden_rail 动力铁轨
grass 草方块
grass_path 泥土小径
hay_block 干草捆
packed_ice 浮冰
frosted_ice 冰霜
jungleFence 丛林木栅栏
jungle_fence_gate 丛林木栅栏门
flowing_lava 熔岩
leaves 树叶
lit_pumpkin 南瓜灯
lockedchest 上锁的箱子
log 原木
melon_block 西瓜
monster_egg 被虫蚀的石头
mushroom 蘑菇
mycelium 菌丝
nether_brick_fence 下界砖栅栏
netherreactor 下界反应核
unlit_redstone_torch 红石火把
redstone_torch 红石火把
oreRuby 红宝石矿石
observer 侦测器
piston 活塞
sticky_piston 粘性活塞
potatoes 马铃薯
stone_pressure_plate 石质压力板
wooden_pressure_plate 橡木压力板
acacia_pressure_plate 金合欢木压力板
birch_pressure_plate 桦木压力板
dark_oak_pressure_plate 深色橡木压力板
jungle_pressure_plate 丛林木压力板
spruce_pressure_plate 云杉压力板
pumpkin 南瓜
pumpkin_stem 南瓜茎
quartz_block 石英块
red_mushroom 红蘑菇
red_mushroom_block 红蘑菇方块
red_sandstone 红沙石
redstone_wire 红石粉
redstone_lamp 红石灯
sandstone 沙石
seaLantern 海晶灯
standing_sign 告示牌
spruce_standing_sign 云杉木告示牌
birch_standing_sign 桦木告示牌
jungle_standing_sign 丛林木告示牌
acacia_standing_sign 金合欢木告示牌
darkoak_standing_sign 深色橡木告示牌
spruceFence 云杉栅栏
spruce_fence_gate 云杉栅栏门
brick_stairs 砖阶梯
nether_brick_stairs 下界砖阶梯
quartz_stairs 石英阶梯
smooth_quartz_stairs 平滑石英阶梯
red_sandstone_stairs 红沙石阶梯
sandstone_stairs 沙石阶梯
stone_stairs 圆石阶梯
normal_stone_stairs 石质阶梯
stone_brick_stairs 石砖阶梯
oak_stairs 橡木阶梯
acacia_stairs 金合欢木阶梯
birch_stairs 桦木阶梯
dark_oak_stairs 深色橡木阶梯
jungle_stairs 丛林木阶梯
spruce_stairs 云杉木阶梯
purpur_stairs 紫珀阶梯
prismarine_stairs 海晶石阶梯
dark_prismarine_stairs 暗海晶石阶梯
prismarine_bricks_stairs 海晶石砖阶梯
granite_stairs 花岗岩阶梯
diorite_stairs 闪长岩阶梯
andesite_stairs 安山岩阶梯
polished_granite_stairs 磨制花岗岩阶梯
polished_diorite_stairs 磨制闪长岩阶梯
polished_andesite_stairs 磨制安山岩阶梯
mossy_stone_brick_stairs 苔石砖阶梯
smooth_red_sandstone_stairs 平滑红沙石阶梯
smooth_sandstone_stairs 平滑沙石阶梯
end_brick_stairs 末地石砖阶梯
mossy_cobblestone_stairs 苔圆石阶梯
red_nether_brick_stairs 红色下界砖阶梯
standing_banner 旗帜
stonecutter 切石机
stonecutter_block 切石机
mossy_cobblestone 苔圆石
double_stone_slab 石台阶
stone_slab 石台阶
glass_pane 玻璃板
tnt TNT
snow_layer 顶层雪
torch 火把
tripWire 绊线
tripwire_hook 绊线钩
twisting_vines 缠怨藤
flowing_water 水
water 水
heavy_weighted_pressure_plate 测重压力板（重型）
light_weighted_pressure_plate 测重压力板（轻型）
wooden_slab 木台阶
carpet 地毯
crafting_table 工作台
glazedTerracottaWhite 白色带釉陶瓦
glazedTerracottaOrange 橙色带釉陶瓦
glazedTerracottaMagenta 品红色带釉陶瓦
glazedTerracottaLightBlue 淡蓝色带釉陶瓦
glazedTerracottaYellow 黄色带釉陶瓦
glazedTerracottaLime 黄绿色带釉陶瓦
glazedTerracottaPink 粉红色带釉陶瓦
glazedTerracottaGray 灰色带釉陶瓦
glazedTerracottaSilver 淡灰色带釉陶瓦
glazedTerracottaCyan 青色带釉陶瓦
glazedTerracottaPurple 紫色带釉陶瓦
glazedTerracottaBlue 蓝色带釉陶瓦
glazedTerracottaBrown 棕色带釉陶瓦
glazedTerracottaGreen 绿色带釉陶瓦
glazedTerracottaRed 红色带釉陶瓦
glazedTerracottaBlack 黑色带釉陶瓦
scaffolding 脚手架
grindstone 磨石
cartography_table 制图台
smoker 火炉
smithing_table 锻造台
barrel 木桶
loom 织布机
lectern 讲台
sweet_berry_bush 甜浆果灌木丛
oak 橡木
spruce 云杉木
birch 桦木
jungle 丛林木
acacia 金合欢木
dark_oak 深色橡木
ancient_debris 远古残骸
respawn_anchor 重生锚
infested_deepslate 被虫蚀的深板岩
cobbled_deepslate_slab 深板岩圆石台阶
cobbled_deepslate_stairs 深板岩圆石阶梯
cobbled_deepslate_wall 深板岩圆石墙
polished_deepslate_slab 磨制深板岩台阶
polished_deepslate_stairs 磨制深板岩阶梯
polished_deepslate_wall 磨制深板岩墙
deepslate_tile_slab 深板岩瓦台阶
deepslate_tile_stairs 深板岩瓦阶梯
deepslate_tile_wall 深板岩瓦墙
deepslate_brick_slab 深板岩砖台阶
deepslate_brick_stairs 深板岩砖阶梯
deepslate_brick_wall 深板岩砖墙
cobbled_deepslate_double_slab 深板岩圆石双台阶
polished_deepslate_double_slab 磨制深板岩双台阶
deepslate_tile_double_slab 深板岩瓦双台阶
deepslate_brick_double_slab 深板岩砖双台阶
waxed_copper 涂蜡铜方块
waxed_exposed_copper 涂蜡外露铜
waxed_weathered_copper 涂蜡风化铜
waxed_oxidized_copper 涂蜡氧化铜
waxed_cut_copper 涂蜡切制铜
waxed_exposed_cut_copper 涂蜡外露切制铜
waxed_weathered_cut_copper 涂蜡风化切制铜
waxed_oxidized_cut_copper 涂蜡氧化切制铜
cut_copper_stairs 切制铜阶梯
exposed_cut_copper_stairs 外露切制铜阶梯
weathered_cut_copper_stairs 风化切制铜阶梯
oxidized_cut_copper_stairs 氧化切制铜阶梯
waxed_cut_copper_stairs 涂蜡切制铜阶梯
waxed_exposed_cut_copper_stairs 涂蜡外露切制铜阶梯
waxed_weathered_cut_copper_stairs 涂蜡风化切制铜阶梯
waxed_oxidized_cut_copper_stairs 涂蜡氧化切制铜阶梯
cut_copper_slab 切制铜台阶
exposed_cut_copper_slab 外露切制铜台阶
weathered_cut_copper_slab 风化切制铜台阶
oxidized_cut_copper_slab 氧化切制铜台阶
waxed_cut_copper_slab 涂蜡切制铜台阶
waxed_exposed_cut_copper_slab 涂蜡外露切制铜台阶
waxed_weathered_cut_copper_slab 涂蜡风化切制铜台阶
waxed_oxidized_cut_copper_slab 涂蜡氧化切制铜台阶
copper 铜
candle_cake 带蜡烛的蛋糕
white_candle_cake 带白色蜡烛的蛋糕
orange_candle_cake 带橙色蜡烛的蛋糕
magenta_candle_cake 带品红色蜡烛的蛋糕
light_blue_candle_cake 带淡蓝色蜡烛的蛋糕
yellow_candle_cake 带黄色蜡烛的蛋糕
lime_candle_cake 带黄绿色蜡烛的蛋糕
pink_candle_cake 带粉红色蜡烛的蛋糕
gray_candle_cake 带灰色蜡烛的蛋糕
light_gray_candle_cake 带淡灰色蜡烛的蛋糕
cyan_candle_cake 带青色蜡烛的蛋糕
purple_candle_cake 带紫色蜡烛的蛋糕
blue_candle_cake 带蓝色蜡烛的蛋糕
brown_candle_cake 带棕色蜡烛的蛋糕
green_candle_cake 带绿色蜡烛的蛋糕
red_candle_cake 带红色蜡烛的蛋糕
black_candle_cake 带黑色蜡烛的蛋糕
